States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
arunachal-pradesh,pakke kessang,2018,1,TOTAL,9,9131.404205737199
arunachal-pradesh,dibang valley,2018,1,TOTAL,2,169.88856537681642
arunachal-pradesh,west kameng,2018,1,TOTAL,5787,9540632.547015157
arunachal-pradesh,east siang,2018,1,TOTAL,3286,5533620.186295529
arunachal-pradesh,upper subansiri,2018,1,TOTAL,735,1358367.5018580484
arunachal-pradesh,east kameng,2018,1,TOTAL,529,473824.76595106337
arunachal-pradesh,lohit,2018,1,TOTAL,3747,11496949.54576835
arunachal-pradesh,lepa rada,2018,1,TOTAL,288,403149.46702687367
arunachal-pradesh,tawang,2018,1,TOTAL,2334,5055665.022950603
arunachal-pradesh,namsai,2018,1,TOTAL,1400,2162984.705083958
arunachal-pradesh,lower dibang valley,2018,2,TOTAL,1827,2561237.506207262
arunachal-pradesh,lower subansiri,2018,2,TOTAL,1666,4113742.04406352
arunachal-pradesh,longding,2018,2,TOTAL,4634,10271170.165521314
arunachal-pradesh,west siang,2018,2,TOTAL,2579,7610989.567485569
arunachal-pradesh,kamle,2018,2,TOTAL,12,23654.058373191845
arunachal-pradesh,upper siang,2018,2,TOTAL,240,494895.09277159756
arunachal-pradesh,tirap,2018,2,TOTAL,1903,3126393.7649546335
arunachal-pradesh,papum pare,2018,2,TOTAL,25363,66520931.20355793
arunachal-pradesh,kurung kumey,2018,2,TOTAL,83,123737.2220411206
arunachal-pradesh,anjaw,2018,2,TOTAL,7,7871.020814692305
arunachal-pradesh,siang,2018,2,TOTAL,336,740232.6309634304
arunachal-pradesh,lower siang,2018,2,TOTAL,2292,2179451.657976534
arunachal-pradesh,kra daadi,2018,2,TOTAL,247,987135.9959717204
arunachal-pradesh,changlang,2018,2,TOTAL,6066,13294258.50337311
arunachal-pradesh,pakke kessang,2018,2,TOTAL,48,58359.57138935899
